code,name,category
1301,極洋,水産・農林業
1332,ニッスイ,水産・農林業
1333,Umios,水産・農林業
1334,マルハニチロ HD,水産・農林業
1352,ホウスイ,卸売業
1375,ユキグニファクトリー,水産・農林業
1376,カネコ種苗,水産・農林業
1377,サカタのタネ,水産・農林業
1379,ホクト,水産・農林業
1380,秋川牧園,水産・農林業
1381,アクシーズ,水産・農林業
1382,ホーブ,水産・農林業
1383,ベルグアース,水産・農林業
1384,ホクリヨウ,食料品
1400,ルーデンHD,建設業
1401,エムビーエス,建設業
1405,サーラ住宅,建設業
1407,ウエスト HD,建設業
1408,サムシング HD,建設業
1413,ヒノキヤグループ,建設業
1414,ショーボンド HD,建設業
1417,ミライト・ワン,建設業
1418,インターライフ HD,建設業
1419,タマホーム,建設業
1420,サンヨーホームズ,建設業
1429,日本アクア,建設業
1430,ファーストコーポレーション,建設業
1431,Lib Work,建設業
1433,ベステラ,建設業
1434,JESCO HD,建設業
1435,robot home,不動産業
1436,グリーンエナジー&カンパニー,建設業
1438,岐阜造園,建設業
1439,安江工務店,建設業
1443,技研 HD,建設業
1444,ニッソウ,建設業
1446,キャンディル,建設業
1447,SAAF HD,建設業
1448,スペースバリュー HD,建設業
1449,FUJIジャパン,建設業
1450,TANAKEN,建設業
1451,KHC,建設業
1491,中外鉱業,非鉄金属
1514,住石 HD,鉱業
1515,日鉄鉱業,鉱業
1518,三井松島 HD,その他製品
1605,INPEX,鉱業
1606,日本海洋掘削,鉱業
1661,関東天然瓦斯開発,鉱業
1662,石油資源開発,鉱業
1663,K&Oエナジーグループ,鉱業
1701,昭和KDE,鉱業
1702,共立マテリアル,ガラス・土石製品
1711,SDS HD,建設業
1712,ダイセキ環境ソリューション,建設業
1716,第一カッター興業,建設業
1717,明豊ファシリティワークス,建設業
1718,美樹工業,建設業
1719,安藤・間,建設業
1720,東急建設,建設業
1721,コムシス HD,建設業
1722,ミサワホーム,建設業
1723,日本電技,建設業
1724,シンクレイヤ,建設業
1725,フジタ,建設業
1726,ビーアール HD,建設業
1728,ミサワホーム中国,建設業
1730,麻生フオームクリート,建設業
1734,北弘電社,建設業
1736,オーテック,建設業
1737,三井金属エンジニアリング,建設業
1738,ニットー,建設業
1739,メルディアDC,建設業
1742,セコムテクノサービス,サービス業
1743,コーアツ工業,建設業
1750,カナック,建設業
1751,日立プラント建設サービス,建設業
1756,和興エンジニアリング,建設業
1757,創建エース,建設業
1758,太洋基礎工業,建設業
1761,ミサワホーム北海道,建設業
1762,髙松コンストラクショングループ,建設業
1763,北陸ミサワホーム,建設業
1764,工藤建設,建設業
1766,東建コーポレーション,建設業
1767,沖ウィンテック,建設業
1768,ソネック,建設業
1770,藤田エンジニアリング,建設業
1771,日本乾溜工業,建設業
1773,ワイ・ティー・エル・コーポレーション・バーハッド,建設業
1775,富士電機E&C,建設業
1776,三井住建道路,建設業
1777,川崎設備工業,建設業
1778,古河総合設備,建設業
1780,ヤマウラ,建設業
1782,常磐開発,建設業
1783,fantasista,建設業
1786,オリエンタル白石,建設業
1787,ナカボーテック,建設業
1788,三東工業社,建設業
1789,ETS HD,建設業
1793,大本組,建設業
1795,マサル,建設業
1798,守谷商会,建設業
1799,第一建設工業,建設業
1801,大成建設,建設業
1802,大林組,建設業
1803,清水建設,建設業
1805,飛島建設,建設業
1807,佐藤渡辺,建設業
1808,長谷工コーポレーション,建設業
1810,松井建設,建設業
1811,錢高組,建設業
1812,鹿島建設,建設業
1813,不動テトラ,建設業
1814,大末建設,建設業
1815,鉄建建設,建設業
1816,安藤建設,建設業
1819,日鉄テックスエンジ,建設業
1820,西松建設,建設業
1821,三井住友建設,建設業
1822,大豊建設,建設業
1824,前田建設工業,建設業
1826,佐田建設,建設業
1827,ナカノフドー建設,建設業
1828,田辺工業,建設業
1832,北海電工,建設業
1833,奥村組,建設業
1834,大和小田急建設,建設業
1835,東鉄工業,建設業
1840,土屋 HD,建設業
1841,サンユー建設,建設業
1844,大盛工業,建設業
1846,鈴縫工業,建設業
1847,イチケン,建設業
1848,富士ピー・エス,建設業
1850,南海辰村建設,建設業
1852,淺沼組,建設業
1853,森組,建設業
1860,戸田建設,建設業
1861,熊谷組,建設業
1865,青木あすなろ建設,建設業
1866,北野建設,建設業
1867,植木組,建設業
1868,三井ホーム,建設業
1869,名工建設,建設業
1870,矢作建設工業,建設業
1871,ピーエス・コンストラクション,建設業
1873,日本ハウス HD,建設業
1875,青木マリーン,建設業
1878,大東建託,建設業
1879,新日本建設,建設業
1881,NIPPO,建設業
1882,東亜道路工業,建設業
1883,前田道路,建設業
1884,日本道路,建設業
1885,東亜建設工業,建設業
1887,日本国土開発,建設業
1888,若築建設,建設業
1890,東洋建設,建設業
1892,徳倉建設,建設業
1893,五洋建設,建設業
1895,大成ロテック,建設業
1896,大林道路,建設業
1897,金下建設,建設業
1898,世紀東急工業,建設業
1899,福田組,建設業
1904,大成温調,建設業
1905,テノックス,建設業
1906,細田工務店,建設業
1907,東北ミサワホーム,建設業
1909,日本ドライケミカル,機械
1911,住友林業,建設業
1914,日本基礎技術,建設業
1916,日成ビルド工業,建設業
1919,ヤマダ・エスバイエルホーム,建設業
1921,巴コーポレーション,建設業
1924,パナホーム,建設業
1925,大和ハウス工業,建設業
1926,ライト工業,建設業
1928,積水ハウス,建設業
1929,日特建設,建設業
1930,北陸電気工事,建設業
1931,日本電通,建設業
1933,SYSKEN,建設業
1934,ユアテック,建設業
1935,TTK,建設業
1936,シーキューブ,建設業
1937,西部電気工業,建設業
1938,日本リーテック,建設業
1939,四電工,建設業
1940,つうけん,建設業
1941,中電工,建設業
1942,関電工,建設業
1943,大明,建設業
1944,きんでん,建設業
1945,東京エネシス,建設業
1946,トーエネック,建設業
1948,弘電社,建設業
1949,住友電設,建設業
1950,日本電設工業,建設業
1951,エクシオグループ,建設業
1952,新日本空調,建設業
1954,日本工営,サービス業
1955,東電通,建設業
1956,NDS,建設業
1959,クラフティア,建設業
1960,サンテック,建設業
1961,三機工業,建設業
1963,日揮 HD,建設業
1964,中外炉工業,建設業
1965,テクノ菱和,建設業
1966,高田工業所,建設業
1967,ヤマト,建設業
1968,太平電業,建設業
1969,高砂熱学工業,建設業
1970,日立プラントテクノロジー,建設業
1971,中央ビルト工業,金属製品
1972,三晃金属工業,建設業
1973,NECネッツエスアイ,情報・通信業
1975,朝日工業社,建設業
1976,明星工業,建設業
1978,アタカ大機,機械
1979,大気社,建設業
1980,ダイダン,建設業
1981,協和日成,建設業
1982,日比谷総合設備,建設業
1983,東芝プラントシステム,建設業
1984,三信建設工業,建設業
1985,大和電設工業,建設業
1986,日商インターライフ,建設業
1987,ソルコム,建設業
1989,北陸電話工事,建設業
1990,東邦建,建設業
1992,神田通信機,建設業
1994,高橋カーテンウォール工業,建設業
1997,暁飯島工業,建設業
1999,サイタ HD,建設業
2001,ニップン,食料品
2002,日清製粉G,食料品
2003,日東富士製粉,食料品
2004,昭和産業,食料品
2006,東福製粉,食料品
2008,増田製粉所,食料品
2009,鳥越製粉,食料品
2051,日本農産工業,食料品
2052,協同飼料,食料品
2053,中部飼料,食料品
2055,日和産業,食料品
2056,日本配合飼料,食料品
2058,ヒガシマル,食料品
2059,ユニ・チャームペットケア,その他製品
2060,フィード・ワン,食料品
2107,東洋精糖,食料品
2108,日本甜菜製糖,食料品
2109,DM三井製糖,食料品
2112,塩水港精糖,食料品
2114,フジ日本,食料品
2116,日新製糖,食料品
2117,ウェルネオシュガー,食料品
2120,LIFULL,サービス業
2121,MIXI,サービス業
2122,インタースペース,サービス業
2123,シミックファーマサイエンス,サービス業
2124,ジェイエイシーリクルートメント,サービス業
2125,日本クラウド証券,証券、商品先物取引業
2127,日本M&Aセンター HD,サービス業
2128,ノバレーゼ,サービス業
2130,メンバーズ,サービス業
2131,アコーディア・ゴルフ,サービス業
2132,アイレップ,サービス業
2133,GABA,サービス業
2134,北浜キャピタルパートナーズ,サービス業
2135,VSN,サービス業
2136,ヒップ,サービス業
2137,光ハイツ・ヴェラス,サービス業
2138,クルーズ,情報・通信業
2139,中広,サービス業
2140,クラウドゲート,サービス業
2144,やまねメディカル,サービス業
2145,データリンクス,サービス業
2146,UTグループ,サービス業
2147,フジスタッフ HD,サービス業
2148,アイティメディア,サービス業
2150,ケアネット,サービス業
2151,タケエイ,サービス業
2152,幼児活動研究会,サービス業
2153,E・J HD,サービス業
2154,オープンアップグループ,サービス業
2155,カービュー,サービス業
2156,セーラー広告,サービス業
2157,コシダカ HD,サービス業
2158,FRONTEO,サービス業
2159,フルスピード,サービス業
2160,ジーエヌアイグループ,医薬品
2162,nms HD,サービス業
2163,アルトナー,サービス業
2164,地域新聞社,サービス業
2165,野村不動産ライフ&スポーツ,サービス業
